Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%
60,Radek Bonk,33,NSH,C,66,9,16,25,-12,34,3,6,0,2,12,3,1,102,8.8,1019,15:27,28,58,450,301,59.9
,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%
61,Derek Boogaard,26,MIN,LW,51,0,3,3,3,87,0,0,0,0,3,0,0,13,0.0,255,4:00,4,62,0,0,
62,David Booth,24,FLA,LW,72,31,29,60,10,38,20,11,0,5,23,5,1,246,12.6,1231,17:05,20,91,7,10,41.2
63,Casey Borer,23,CAR,D,3,0,0,0,0,5,0,0,0,0,0,0,0,0,,33,11:05,5,3,0,0,
64,Pierre-Marc Bouchard,24,MIN,LW,71,16,30,46,-5,20,14,2,0,1,16,14,0,142,11.3,1205,16:59,12,7,11,8,57.9
65,Philippe Boucher,35,TOT,D,41,3,6,9,6,39,3,0,0,0,3,3,0,66,4.5,824,20:07,95,81,0,0,
66,Francis Bouillon,33,MTL,D,54,5,4,9,-7,53,5,0,0,1,3,0,1,51,9.8,891,16:30,55,122,0,0,
67,Jesse Boulerice,30,EDM,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,3:43,0,0,0,0,
68,Eric Boulton,32,ATL,LW,76,3,10,13,-3,176,3,0,0,0,10,0,0,71,4.2,574,7:33,13,77,1,3,25.0
69,Chris Bourque,23,WSH,LW,8,1,0,1,0,0,1,0,0,0,0,0,0,11,9.1,78,9:46,2,8,0,0,
70,Rene Bourque,27,CGY,LW,58,21,19,40,18,70,20,0,1,0,18,1,0,149,14.1,933,16:05,30,79,9,9,50.0
71,Jay Bouwmeester,25,FLA,D,82,15,27,42,-2,68,6,9,0,2,15,11,1,182,8.2,2213,26:59,128,115,0,0,
72,Johnny Boychuk,25,BOS,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,14:48,1,3,0,0,
73,Zach Boychuk,19,CAR,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,12:03,0,4,0,1,0.0
74,Dustin Boyd,22,CGY,C,71,11,11,22,-11,10,9,1,1,3,8,2,1,74,14.9,914,12:52,29,43,215,253,45.9
75,Brad Boyes,26,STL,RW,82,33,39,72,-20,26,17,16,0,11,20,19,0,220,15.0,1570,19:08,20,49,155,160,49.2
76,Brian Boyle,24,LAK,C,28,4,1,5,-9,42,4,0,0,1,1,0,0,36,11.1,284,10:08,8,66,102,123,45.3
77,Dan Boyle,32,SJS,D,77,16,41,57,6,52,8,8,0,4,16,24,1,213,7.5,1908,24:46,95,51,0,1,0.0
78,Nick Boynton,30,FLA,D,68,5,16,21,7,91,5,0,0,1,13,3,0,104,4.8,1129,16:36,97,52,0,0,
79,Matt Bradley,30,WSH,RW,81,5,6,11,-1,59,5,0,0,1,6,0,0,98,5.1,859,10:37,16,115,10,14,41.7
80,Donald Brashear,37,WSH,LW,63,1,3,4,-6,121,1,0,0,1,3,0,0,43,2.3,520,8:15,8,119,0,0,
,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%
81,Derick Brassard,21,CBJ,C,31,10,15,25,12,17,7,3,0,1,11,4,0,59,16.9,447,14:25,3,40,161,171,48.5
82,Tim Brent,24,CHI,C,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,17,8:21,1,4,5,5,50.0
83,Eric Brewer,29,STL,D,28,1,5,6,-14,24,0,1,0,0,3,2,0,49,2.0,703,25:07,57,40,0,0,
84,Daniel Briere,31,PHI,C,29,11,14,25,-1,26,7,4,0,0,8,6,0,54,20.4,454,15:39,6,13,68,79,46.3
85,Rod Brind'Amour,38,CAR,C,80,16,35,51,-23,36,9,6,1,1,16,18,1,135,11.9,1518,18:58,35,76,908,580,61.0
86,Patrice Brisebois,38,MTL,D,62,5,13,18,-3,19,1,4,0,1,10,3,0,68,7.4,986,15:54,69,45,0,0,
87,Kyle Brodziak,24,EDM,C,79,11,16,27,4,21,9,1,1,3,14,1,1,99,11.1,1005,12:43,55,60,489,458,51.6
88,Sheldon Brookbank,28,TOT,D,44,1,3,4,4,76,1,0,0,0,3,0,0,30,3.3,534,12:08,22,37,0,0,
89,Wade Brookbank,31,CAR,LW,27,1,0,1,0,40,1,0,0,0,0,0,0,8,12.5,67,2:30,6,15,0,0,
90,Troy Brouwer,23,CHI,RW,69,10,16,26,7,50,5,4,1,0,12,4,0,126,7.9,1041,15:05,19,125,9,11,45.0
91,Dustin Brown,24,LAK,RW,80,24,29,53,-15,64,17,7,0,6,18,11,0,292,8.2,1552,19:24,22,285,25,29,46.3
92,Mike Brown,23,TOT,RW,48,2,2,4,-7,145,2,0,0,2,2,0,0,44,4.5,391,8:08,12,85,0,6,0.0
93,Gilbert Brule,22,EDM,C,11,2,1,3,-3,12,2,0,0,1,1,0,0,13,15.4,109,9:52,6,14,4,1,80.0
94,Andrew Brunette,35,MIN,LW,80,22,28,50,-5,18,13,9,0,3,19,9,0,118,18.6,1356,16:57,13,22,2,7,22.2
95,Fabian Brunnstrom,23,DAL,LW,55,17,12,29,-8,8,13,4,0,5,10,2,0,81,21.0,639,11:37,12,24,0,0,
96,Adam Burish,26,CHI,RW,66,6,3,9,3,93,6,0,0,2,3,0,0,83,7.2,608,9:12,37,46,49,75,39.5
97,Brent Burns,23,MIN,D,59,8,19,27,-7,45,4,4,0,2,9,10,0,147,5.4,1323,22:25,62,58,3,2,60.0
98,Alexandre Burrows,27,VAN,LW,82,28,23,51,23,150,24,0,4,3,22,0,1,175,16.0,1382,16:51,38,67,37,43,46.3
99,Chris Butler,22,BUF,D,47,2,4,6,11,18,2,0,0,1,4,0,0,36,5.6,786,16:43,60,37,0,0,
100,Dustin Byfuglien,23,CHI,RW,77,15,16,31,7,81,12,3,0,4,12,4,0,202,7.4,1145,14:52,23,169,2,9,18.2
,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%
101,Kyle Calder,30,LAK,LW,74,8,19,27,-1,41,6,2,0,1,17,2,0,93,8.6,974,13:10,7,55,1,2,33.3
102,Joe Callahan,26,NYI,D,18,0,2,2,5,4,0,0,0,0,2,0,0,6,0.0,270,14:00,22,39,0,1,0.0
103,Ryan Callahan,23,NYR,RW,81,22,18,40,7,45,19,2,1,1,16,2,0,237,9.3,1382,17:04,32,265,7,3,70.0
104,Mike Cammalleri,26,CGY,LW,81,39,43,82,-2,44,20,19,0,6,28,15,0,255,15.3,1422,17:33,18,21,217,143,60.3
105,Brian Campbell,29,CHI,D,82,7,45,52,5,22,3,4,0,1,25,20,0,108,6.5,1851,22:34,72,34,0,0,
106,Gregory Campbell,25,FLA,C,77,13,19,32,0,76,12,1,0,1,17,1,1,135,9.6,1292,16:47,82,202,509,509,50.0
107,Chris Campoli,24,TOT,D,76,11,19,30,-16,55,8,2,1,4,9,9,1,91,12.1,1485,19:32,86,81,0,0,
108,Luca Caputi,20,PIT,LW,5,1,0,1,-1,4,1,0,0,0,0,0,0,7,14.3,51,10:16,0,3,0,0,
109,Daniel Carcillo,24,TOT,LW,74,3,11,14,-15,254,1,2,0,0,10,1,0,130,2.3,852,11:31,20,151,12,8,60.0
110,Matt Carkner,28,OTT,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4:08,0,2,0,0,
111,Matt Carle,24,TOT,D,76,5,21,26,3,22,5,0,0,2,13,8,0,85,5.9,1626,21:24,142,38,0,0,
112,Brett Carson,23,CAR,D,5,0,0,0,-3,4,0,0,0,0,0,0,0,2,0.0,79,15:44,5,6,0,0,
113,Jeff Carter,24,PHI,C,82,46,38,84,23,68,29,13,4,12,27,11,0,342,13.5,1718,20:57,53,54,833,892,48.3
114,Ryan Carter,25,ANA,C,48,3,6,9,3,52,3,0,0,1,5,1,0,40,7.5,437,9:06,9,67,146,158,48.0
115,Tom Cavanagh,26,SJS,C,17,1,1,2,-2,4,1,0,0,0,1,0,0,9,11.1,131,7:44,5,4,26,31,45.6
116,Zdeno Chara,31,BOS,D,80,19,31,50,23,95,8,11,0,3,12,17,2,216,8.8,2085,26:04,121,166,1,3,25.0
117,Jonathan Cheechoo,28,SJS,RW,66,12,17,29,-3,59,6,5,1,4,13,4,0,152,7.9,1011,15:19,18,107,1,3,25.0
118,Chris Chelios*,47,DET,D,28,0,0,0,1,18,0,0,0,0,0,0,0,14,0.0,327,11:40,12,22,0,0,
119,Jason Chimera,29,CBJ,LW,49,8,14,22,8,41,7,1,0,1,13,1,0,115,7.0,796,16:15,11,61,18,24,42.9
120,Kyle Chipchura,22,MTL,C,13,0,3,3,-6,5,0,0,0,0,3,0,0,5,0.0,134,10:18,3,8,47,60,43.9
,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%
121,Taylor Chorney,21,EDM,D,2,0,0,0,-4,0,0,0,0,0,0,0,0,0,,31,15:43,6,0,0,0,
122,Erik Christensen,25,TOT,C,64,7,21,28,-9,20,5,2,0,0,16,5,0,122,5.7,873,13:39,6,19,277,220,55.7
123,Kris Chucko,22,CGY,RW,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,7:02,0,1,0,1,0.0
124,Brett Clark,32,COL,D,76,2,10,12,-16,32,2,0,0,1,8,2,0,97,2.1,1697,22:20,238,73,0,0,
125,Chris Clark,32,WSH,RW,32,1,5,6,-3,32,1,0,0,0,4,1,0,36,2.8,370,11:34,7,49,3,3,50.0
126,David Clarkson,24,NJD,RW,82,17,15,32,-1,164,13,4,0,3,13,2,0,158,10.8,988,12:03,13,134,2,5,28.6
127,Dan Cleary,30,DET,RW,74,14,26,40,0,46,11,3,0,3,23,3,0,163,8.6,1253,16:56,36,107,67,54,55.4
128,Ryane Clowe,26,SJS,LW,71,22,30,52,8,51,11,11,0,1,17,13,0,161,13.7,1262,17:47,22,135,49,71,40.8
129,Cal Clutterbuck,21,MIN,RW,78,11,7,18,-5,76,10,1,0,1,7,0,0,136,8.1,1014,13:00,39,356,2,15,11.8
130,Braydon Coburn,23,PHI,D,80,7,21,28,7,97,4,3,0,0,11,8,2,130,5.4,1970,24:37,129,146,0,0,
131,Andrew Cogliano,21,EDM,C,82,18,20,38,-6,22,14,4,0,4,15,5,0,116,15.5,1181,14:24,39,57,261,441,37.2
132,Carlo Colaiacovo,26,TOT,D,73,3,27,30,0,35,3,0,0,0,7,20,0,87,3.4,1333,18:16,82,64,0,0,
133,Erik Cole,30,TOT,LW,80,18,24,42,0,73,13,5,0,1,20,4,0,178,10.1,1409,17:37,43,180,20,29,40.8
134,Sean Collins,25,WSH,D,15,1,1,2,1,12,1,0,0,0,1,0,0,14,7.1,218,14:32,15,11,0,0,
135,Jeremy Colliton,24,NYI,C,6,0,1,1,-2,2,0,0,0,0,1,0,0,4,0.0,66,11:03,5,18,45,25,64.3
136,Blake Comeau,22,NYI,LW,53,7,18,25,-17,32,5,2,0,0,11,7,0,78,9.0,863,16:17,18,90,14,31,31.1
137,Mike Commodore,29,CBJ,D,81,5,19,24,11,100,5,0,0,0,17,2,0,103,4.9,1854,22:54,162,201,2,1,66.7
138,Mike Comrie,28,TOT,C,63,10,17,27,-15,32,8,2,0,1,12,4,1,121,8.3,989,15:42,34,39,171,246,41.0
139,Tim Conboy,26,CAR,RW,28,0,1,1,-1,37,0,0,0,0,1,0,0,13,0.0,150,5:21,2,20,0,0,
140,Chris Conner,25,DAL,RW,38,3,10,13,-5,10,3,0,0,1,9,1,0,34,8.8,415,10:56,5,37,0,1,0.0
,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%
141,Tim Connolly,27,BUF,C,48,18,29,47,12,22,12,5,1,5,16,13,0,126,14.3,918,19:07,37,17,229,315,42.1
142,Craig Conroy,37,CGY,C,82,12,36,48,20,28,11,0,1,1,35,0,1,104,11.5,1261,15:22,49,42,722,645,52.8
143,Matt Cooke,30,PIT,LW,76,13,18,31,0,101,13,0,0,1,17,1,0,86,15.1,1080,14:13,37,262,7,12,36.8
144,Joe Corvo,31,CAR,D,81,14,24,38,-1,18,5,8,1,6,10,14,0,213,6.6,1970,24:19,89,41,0,0,
145,Riley Cote,26,PHI,LW,63,0,3,3,-7,174,0,0,0,0,3,0,0,24,0.0,262,4:10,4,51,0,0,
146,Joey Crabb,25,ATL,RW,29,4,5,9,-2,28,3,0,1,1,5,0,0,33,12.1,354,12:13,15,54,13,20,39.4
147,Ryan Craig,27,TBL,C,54,2,4,6,-7,60,2,0,0,0,4,0,0,64,3.1,555,10:16,29,60,110,112,49.5
148,B.J. Crombeen,23,TOT,RW,81,12,10,22,-9,148,11,0,1,3,8,2,0,124,9.7,1031,12:43,14,87,3,4,42.9
149,Sidney Crosby,21,PIT,C,77,33,70,103,3,76,26,7,0,3,36,33,1,238,13.9,1690,21:57,42,80,829,786,51.3
150,Matt Cullen,32,CAR,C,69,22,21,43,11,20,16,4,2,2,15,3,3,139,15.8,1159,16:48,44,41,457,427,51.7
151,Jassen Cullimore,36,FLA,D,68,2,8,10,-10,37,2,0,0,0,7,1,0,52,3.8,1142,16:48,62,58,0,0,
152,Kyle Cumiskey,22,COL,D,6,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,51,8:32,3,2,0,0,
153,Matt D'Agostini,22,MTL,RW,53,12,9,21,-17,16,9,3,0,1,7,2,0,116,10.3,711,13:25,26,48,3,6,33.3
154,Trevor Daley,25,DAL,D,75,7,18,25,2,73,7,0,0,2,16,1,1,104,6.7,1650,21:00,98,30,0,1,0.0
155,Mathieu Dandenault,32,MTL,RW,41,4,8,12,7,17,4,0,0,0,6,1,1,46,8.7,482,11:45,29,42,2,3,40.0
156,Pavel Datsyuk,30,DET,C,81,32,65,97,34,22,20,11,1,3,39,25,1,248,12.9,1556,19:13,33,75,621,489,55.9
157,Patrick Davis,22,NJD,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,4:30,0,1,0,0,
158,Rob Davison,28,VAN,D,23,0,2,2,-4,51,0,0,0,0,2,0,0,15,0.0,232,10:05,12,28,0,0,
159,Nigel Dawes,23,TOT,LW,64,10,11,21,-6,15,7,3,0,4,10,1,0,115,8.7,848,13:15,25,84,0,0,
160,Greg de Vries,36,NSH,D,71,1,4,5,-15,65,1,0,0,0,4,0,0,38,2.6,1074,15:08,73,58,0,0,
,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%
161,Pavol Demitra,34,VAN,C,69,20,33,53,6,20,16,4,0,1,21,12,0,143,14.0,1206,17:29,31,21,130,109,54.4
162,Andre Deveaux,24,TOR,C,21,0,1,1,-3,75,0,0,0,0,1,0,0,15,0.0,152,7:14,10,44,2,5,28.6
163,Boyd Devereaux,30,TOR,C,23,6,5,11,3,2,3,0,3,0,5,0,0,41,14.6,315,13:42,18,21,4,5,44.4
164,Shane Doan,32,PHX,RW,82,31,42,73,5,72,21,10,0,4,25,15,2,230,13.5,1660,20:15,32,188,159,201,44.2
165,Shean Donovan,34,OTT,RW,65,5,5,10,-2,34,5,0,0,1,5,0,0,58,8.6,509,7:50,17,20,4,5,44.4
166,Derek Dorsett,22,CBJ,RW,52,4,1,5,-1,150,4,0,0,1,1,0,0,59,6.8,462,8:53,15,116,4,5,44.4
167,Drew Doughty,19,LAK,D,81,6,21,27,-17,56,3,3,0,1,8,13,0,126,4.8,1930,23:50,114,90,0,0,
168,Jake Dowell,23,CHI,C,1,0,0,0,1,2,0,0,0,0,0,0,0,0,,14,13:37,0,2,8,4,66.7
169,Aaron Downey,34,DET,RW,4,1,1,2,0,7,1,0,0,0,1,0,0,2,50.0,21,5:13,1,11,0,0,
170,Steve Downie,21,TOT,RW,29,3,3,6,-2,65,3,0,0,1,3,0,0,26,11.5,244,8:26,7,41,5,15,25.0
171,Kris Draper,37,DET,C,79,7,10,17,-13,40,6,0,1,2,9,0,1,93,7.5,947,11:59,20,102,594,393,60.2
172,Davis Drewiske,24,LAK,D,17,0,3,3,1,18,0,0,0,0,2,1,0,21,0.0,294,17:19,30,10,0,0,
173,Chris Drury,32,NYR,C,81,22,34,56,-8,32,11,10,1,2,23,10,1,219,10.0,1640,20:15,90,42,603,580,51.0
174,Brandon Dubinsky,22,NYR,C,82,13,28,41,-6,112,9,3,1,7,22,5,1,188,6.9,1364,16:38,24,251,466,404,53.6
175,J.P. Dumont,30,NSH,RW,82,16,49,65,1,20,11,5,0,4,32,17,0,176,9.1,1435,17:30,13,33,3,3,50.0
176,Pascal Dupuis,29,PIT,LW,71,12,16,28,1,30,12,0,0,2,15,0,1,145,8.3,1010,14:13,30,68,3,13,18.8
177,Philippe Dupuis,23,COL,C,8,0,0,0,-1,4,0,0,0,0,0,0,0,11,0.0,76,9:34,1,4,26,24,52.0
178,Chris Durno,28,COL,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,12,6:02,0,6,0,0,
179,Radek Dvorak,31,FLA,RW,81,15,21,36,0,42,11,0,4,3,21,0,0,136,11.0,1331,16:26,31,55,6,11,35.3
180,Patrick Dwyer,25,CAR,RW,13,1,0,1,-2,0,1,0,0,0,0,0,0,9,11.1,111,8:34,6,16,5,7,41.7
,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%
181,Ben Eager,25,CHI,LW,75,11,4,15,1,161,11,0,0,0,4,0,0,80,13.8,639,8:31,11,95,0,0,
182,Mark Eaton,31,PIT,D,68,4,5,9,3,36,3,1,0,0,5,0,0,34,11.8,1208,17:46,148,43,1,0,100.0
183,Patrick Eaves,24,CAR,RW,74,6,8,14,7,31,4,1,1,1,8,0,0,115,5.2,833,11:15,33,134,5,7,41.7
184,Andrew Ebbett,26,ANA,C,48,8,24,32,8,24,2,6,0,0,19,5,0,100,8.0,666,13:52,22,34,221,234,48.6
185,Alexander Edler,22,VAN,D,80,10,27,37,11,54,5,5,0,1,11,16,0,145,6.9,1690,21:08,93,101,1,0,100.0
186,Christian Ehrhoff,26,SJS,D,77,8,34,42,-12,63,3,5,0,2,14,20,0,165,4.8,1635,21:14,90,79,0,0,
187,Patrik Elias,32,NJD,LW,77,31,47,78,18,32,17,12,2,6,25,19,3,247,12.6,1430,18:34,17,51,26,61,29.9
188,Matt Ellis,27,BUF,LW,45,7,5,12,4,12,7,0,0,2,4,1,0,73,9.6,397,8:50,19,21,112,127,46.9
189,Steve Eminger,25,TOT,D,71,5,21,26,-3,50,3,2,0,1,11,10,0,85,5.9,1535,21:37,119,77,0,1,0.0
190,Toby Enstrom,24,ATL,D,82,5,27,32,14,52,2,2,1,1,13,12,2,86,5.8,1929,23:32,120,29,1,1,50.0
191,Martin Erat,27,NSH,RW,71,17,33,50,-7,48,14,3,0,3,18,13,2,149,11.4,1318,18:34,17,36,11,27,28.9
192,Jonathan Ericsson,24,DET,D,19,1,3,4,-1,15,1,0,0,0,3,0,0,25,4.0,336,17:40,12,28,0,0,
193,Loui Eriksson,23,DAL,LW,82,36,27,63,14,14,28,7,1,4,22,5,0,178,20.2,1626,19:50,51,31,2,9,18.2
194,John Erskine,28,WSH,D,52,0,4,4,1,63,0,0,0,0,3,0,1,50,0.0,873,16:48,76,128,0,0,
195,Garnet Exelby,27,ATL,D,59,0,7,7,-2,120,0,0,0,0,6,0,1,42,0.0,987,16:43,99,151,0,0,
196,Sergei Fedorov*,39,WSH,C,52,11,22,33,4,50,9,2,0,2,11,11,0,118,9.3,859,16:31,25,28,368,287,56.2
197,Todd Fedoruk,29,PHX,LW,72,6,7,13,-9,72,6,0,0,0,7,0,0,56,10.7,763,10:36,15,125,4,11,26.7
198,Ruslan Fedotenko,30,PIT,LW,65,16,23,39,18,44,15,1,0,3,20,3,0,117,13.7,917,14:06,28,99,4,14,22.2
199,Eric Fehr,23,WSH,RW,61,12,13,25,8,22,11,1,0,2,12,1,0,134,9.0,686,11:15,10,24,1,2,33.3
200,Andrew Ference,29,BOS,D,47,1,15,16,7,40,0,1,0,0,9,6,0,72,1.4,1012,21:32,72,60,0,0,
,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%
201,Brett Festerling,22,ANA,D,40,0,5,5,5,18,0,0,0,0,5,0,0,15,0.0,667,16:40,36,89,0,0,
202,Vernon Fiddler,28,NSH,LW,78,11,6,17,-13,24,8,1,2,2,5,0,1,114,9.6,1089,13:58,31,83,331,281,54.1
203,Nikita Filatov,18,CBJ,LW,8,4,0,4,3,0,4,0,0,1,0,0,0,10,40.0,65,8:08,2,2,0,0,
204,Valtteri Filppula,24,DET,C,80,12,28,40,9,42,11,1,0,1,25,3,0,129,9.3,1288,16:06,17,41,405,370,52.3
205,Jeff Finger,29,TOR,D,66,6,17,23,-7,43,6,0,0,0,15,2,0,68,8.8,1352,20:29,158,133,0,0,
206,Mike Fisher,28,OTT,C,78,13,19,32,0,66,10,1,2,3,14,5,0,182,7.1,1443,18:30,54,211,535,509,51.2
207,Mark Fistric,22,DAL,D,36,0,4,4,-1,42,0,0,0,0,4,0,0,35,0.0,574,15:57,44,114,0,0,
208,Tomas Fleischmann,24,WSH,RW,73,19,18,37,-3,20,12,7,0,4,14,4,0,131,14.5,1101,15:05,17,22,9,25,26.5
209,Nick Foligno,21,OTT,LW,81,17,15,32,-10,59,10,7,0,2,8,7,0,145,11.7,1108,13:41,18,97,21,26,44.7
210,Adam Foote,37,COL,D,42,1,6,7,-12,30,1,0,0,1,6,0,0,19,5.3,826,19:41,77,54,0,0,
211,Kurtis Foster,27,MIN,D,10,1,5,6,7,6,1,0,0,0,3,2,0,10,10.0,136,13:35,8,8,0,0,
212,Johan Franzen,29,DET,RW,71,34,25,59,21,44,22,11,1,8,17,8,0,246,13.8,1285,18:06,22,90,132,105,55.7
213,Colin Fraser,24,CHI,C,81,6,11,17,3,55,5,0,1,0,9,1,1,67,9.0,883,10:54,47,58,376,409,47.9
214,Jamie Fraser,23,NYI,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,11:00,2,0,0,0,
215,Jamie Fritsch,23,PHI,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,5,4:34,0,1,0,0,
216,Dan Fritsche,23,TOT,C,50,5,8,13,-5,12,3,1,1,0,7,1,0,54,9.3,532,10:38,11,53,41,53,43.6
217,Mitch Fritz,28,NYI,LW,20,0,0,0,-4,42,0,0,0,0,0,0,0,2,0.0,54,2:41,2,6,1,0,100.0
218,Jonas Frogren,28,TOR,D,41,1,6,7,0,28,1,0,0,0,5,0,1,12,8.3,551,13:26,41,74,0,1,0.0
219,Michael Frolik,20,FLA,C,79,21,24,45,10,22,20,1,0,2,13,11,0,158,13.3,1170,14:48,24,46,27,40,40.3
220,Alex Frolov,26,LAK,LW,77,32,27,59,-6,30,19,12,1,1,13,13,1,176,18.2,1534,19:55,20,49,5,6,45.5
,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%
221,Marian Gaborik,26,MIN,RW,17,13,10,23,3,2,10,2,1,2,5,5,0,68,19.1,340,19:00,5,15,0,5,0.0
222,Simon Gagne,28,PHI,LW,79,34,40,74,21,42,18,12,4,3,23,13,4,221,15.4,1503,19:01,28,27,3,7,30.0
223,Sam Gagner,19,EDM,C,76,16,25,41,-1,51,10,6,0,1,20,5,0,156,10.3,1274,16:46,13,28,290,399,42.1
224,T.J. Galiardi,20,COL,LW,11,3,1,4,-4,6,3,0,0,0,1,0,0,14,21.4,180,16:21,9,11,56,77,42.1
225,Jason Garrison,24,FLA,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,11:57,1,1,0,0,
226,Paul Gaustad,26,BUF,C,62,12,17,29,4,108,8,3,1,1,12,5,0,122,9.8,999,16:06,39,141,452,406,52.7
227,Denis Gauthier,32,LAK,D,65,2,2,4,-11,90,2,0,0,0,2,0,0,36,5.6,945,14:32,104,182,0,0,
228,Nathan Gerbe,21,BUF,C,10,0,1,1,3,4,0,0,0,0,0,1,0,24,0.0,136,13:37,0,11,1,0,100.0
229,Bruno Gervais,24,NYI,D,69,3,16,19,-15,33,3,0,0,1,12,3,1,82,3.7,1490,21:36,115,83,0,1,0.0
230,Ryan Getzlaf,23,ANA,C,81,25,66,91,5,121,16,9,0,2,38,28,0,227,11.0,1631,20:08,43,134,566,562,50.2
231,Tom Gilbert,26,EDM,D,82,5,40,45,6,26,3,2,0,1,25,14,1,107,4.7,1802,21:58,136,47,0,0,
232,Hal Gill,33,PIT,D,62,2,8,10,11,53,2,0,0,0,8,0,0,40,5.0,1109,17:54,112,78,0,0,
233,Colton Gillies,19,MIN,C,45,2,5,7,-2,18,2,0,0,1,4,1,0,22,9.1,370,8:14,9,55,1,1,50.0
234,Brian Gionta,30,NJD,RW,81,20,40,60,12,32,14,3,3,1,31,8,1,248,8.1,1374,16:58,28,44,51,81,38.6
235,Mark Giordano,25,CGY,D,58,2,17,19,2,59,0,2,0,0,13,4,0,82,2.4,940,16:13,38,54,0,0,
236,Dan Girardi,24,NYR,D,82,4,18,22,-14,53,2,2,0,1,13,5,0,122,3.3,1765,21:32,82,207,0,0,
237,Alexandre Giroux,27,WSH,LW,12,1,1,2,4,10,1,0,0,1,1,0,0,20,5.0,127,10:34,2,22,0,1,0.0
238,Claude Giroux,21,PHI,RW,42,9,18,27,10,14,7,2,0,0,14,4,0,67,13.4,637,15:10,18,41,146,163,47.2
