Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%
838,Joel Ward,28,NSH,RW,79,17,18,35,1,29,12,3,2,2,16,1,1,133,12.8,1265,16:01,69,65,20,26,43.5
839,Mike Weaver,30,STL,D,58,0,7,7,-3,12,0,0,0,0,5,0,2,36,0.0,1001,17:16,81,43,0,0,
840,Mike Weber,21,BUF,D,7,0,0,0,-3,19,0,0,0,0,0,0,0,2,0.0,99,14:10,8,16,0,0,
,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%
841,Shea Weber,23,NSH,D,81,23,30,53,1,80,12,10,1,4,20,9,1,251,9.2,1942,23:58,95,192,0,0,
842,Yannick Weber,20,MTL,D,3,0,1,1,-1,2,0,0,0,0,0,1,0,6,0.0,45,15:06,1,4,0,0,
843,Doug Weight,38,NYI,C,53,10,28,38,-15,55,5,5,0,0,11,16,1,96,10.4,969,18:17,31,38,306,373,45.1
844,Stephen Weiss,25,FLA,C,78,14,47,61,19,22,9,4,1,4,30,17,0,154,9.1,1389,17:48,52,30,650,627,50.9
845,Noah Welch,26,TOT,D,40,1,1,2,-9,25,1,0,0,0,1,0,0,22,4.5,438,10:56,34,51,0,0,
846,Craig Weller,28,MIN,RW,36,1,2,3,-3,47,0,1,0,0,2,0,0,27,3.7,250,6:57,12,61,0,5,0.0
847,Kyle Wellwood,25,VAN,C,74,18,9,27,2,4,8,10,0,3,6,3,0,94,19.1,1021,13:48,19,14,350,264,57.0
848,Kevin Westgarth,24,LAK,RW,9,0,0,0,1,9,0,0,0,0,0,0,0,1,0.0,45,5:02,1,7,0,1,0.0
849,Blake Wheeler,22,BOS,RW,81,21,24,45,36,46,16,3,2,3,21,2,1,150,14.0,1109,13:41,26,47,13,21,38.2
850,Colin White,31,NJD,D,71,1,17,18,18,46,1,0,0,0,14,0,3,68,1.5,1350,19:01,109,126,0,1,0.0
851,Ian White,24,TOR,D,71,10,16,26,6,57,8,2,0,2,12,3,1,158,6.3,1622,22:51,114,108,0,0,
852,Todd White,33,ATL,C,82,22,51,73,-9,24,9,12,1,0,29,22,0,150,14.7,1481,18:04,33,39,673,656,50.6
853,Trent Whitfield,31,STL,C,3,0,1,1,2,0,0,0,0,0,1,0,0,4,0.0,33,11:03,2,2,19,7,73.1
854,Ray Whitney,36,CAR,LW,82,24,53,77,2,32,17,7,0,2,30,23,0,219,11.0,1510,18:25,26,27,2,2,50.0
855,Ryan Whitney,25,TOT,D,48,2,21,23,-14,28,1,1,0,0,11,10,0,71,2.8,1146,23:52,69,37,0,0,
856,Dennis Wideman,25,BOS,D,79,13,37,50,32,34,6,6,1,2,18,19,0,169,7.7,1947,24:39,127,66,0,0,
857,Jason Williams,28,TOT,RW,80,19,28,47,-4,24,12,7,0,4,21,7,0,153,12.4,1269,15:51,32,45,284,334,46.0
858,Jeremy Williams,25,TOR,RW,11,5,2,7,2,2,5,0,0,0,1,1,0,21,23.8,148,13:26,4,10,0,1,0.0
859,Justin Williams,27,TOT,RW,44,4,10,14,-8,17,1,3,0,0,7,3,0,108,3.7,699,15:53,9,40,7,15,31.8
860,Brian Willsie,30,COL,RW,42,1,3,4,-6,14,1,0,0,0,3,0,0,59,1.7,495,11:47,21,36,30,59,33.7
,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%
861,Clay Wilson,25,TOT,D,7,0,1,1,-3,0,0,0,0,0,0,1,0,13,0.0,79,11:17,1,6,0,0,
862,Landon Wilson,33,DAL,RW,27,2,6,8,5,21,2,0,0,0,6,0,0,34,5.9,249,9:14,4,47,0,3,0.0
863,Brad Winchester,27,STL,LW,64,13,8,21,-1,89,8,5,0,3,5,3,0,82,15.9,778,12:10,20,127,9,11,45.0
864,Jesse Winchester,25,OTT,RW,76,3,15,18,0,33,3,0,0,1,15,0,0,115,2.6,805,10:35,21,116,113,86,56.8
865,Daniel Winnik,23,PHX,C,49,3,4,7,1,63,3,0,0,0,4,0,0,66,4.5,641,13:04,27,79,51,84,37.8
866,Ty Wishart,20,TBL,D,5,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,51,10:07,4,3,0,0,
867,James Wisniewski,24,TOT,D,48,3,21,24,9,30,2,1,0,0,11,10,0,89,3.4,953,19:51,60,90,0,0,
868,Brendan Witt,33,NYI,D,65,0,9,9,-34,94,0,0,0,0,8,0,1,52,0.0,1320,20:18,146,142,1,1,50.0
869,Wojtek Wolski,22,COL,LW,78,14,28,42,-13,28,11,2,1,3,19,9,0,169,8.3,1434,18:23,41,55,248,267,48.2
870,Jeff Woywitka,25,STL,D,65,3,15,18,8,57,1,2,0,1,9,6,0,71,4.2,1201,18:29,77,19,0,0,
871,Andy Wozniewski,28,STL,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,6:44,0,1,0,0,
872,Keith Yandle,22,PHX,D,69,4,26,30,-4,37,3,1,0,0,14,12,0,118,3.4,1147,16:37,63,46,0,0,
873,Stephane Yelle,34,BOS,C,77,7,11,18,6,32,6,1,0,2,9,0,2,72,9.7,1022,13:16,56,105,408,372,52.3
874,Mike York,31,CBJ,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,13:15,0,1,0,0,
875,Travis Zajac,23,NJD,C,82,20,42,62,33,29,14,5,1,2,29,10,3,185,10.8,1529,18:39,40,59,683,604,53.1
876,Greg Zanon,28,NSH,D,82,4,7,11,8,38,4,0,0,1,6,0,1,54,7.4,1710,20:51,237,153,0,0,
877,Richard Zednik,33,FLA,RW,70,17,16,33,2,46,14,3,0,4,14,1,1,153,11.1,1091,15:35,22,68,0,1,0.0
878,John Zeiler,26,LAK,RW,27,0,1,1,-2,42,0,0,0,0,1,0,0,3,0.0,177,6:33,10,47,3,2,60.0
879,Henrik Zetterberg,28,DET,C,77,31,42,73,13,36,17,12,2,5,24,18,0,309,10.0,1531,19:53,31,54,624,546,53.3
880,Nikolai Zherdev,24,NYR,RW,82,23,35,58,6,39,18,4,1,3,28,7,0,219,10.5,1380,16:50,15,49,1,10,9.1
,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%
881,Marek Zidlicky,31,MIN,D,76,12,30,42,-12,76,2,10,0,3,15,15,0,147,8.2,1680,22:07,95,74,0,0,
882,Mike Zigomanis,28,PIT,C,22,2,4,6,-2,27,2,0,0,0,4,0,0,23,8.7,251,11:26,8,17,158,93,62.9
883,Ilya Zubov,21,OTT,C,10,0,2,2,-1,0,0,0,0,0,1,1,0,11,0.0,103,10:17,2,11,0,1,0.0
884,Sergei Zubov,38,DAL,D,10,0,4,4,-4,0,0,0,0,0,1,3,0,15,0.0,243,24:18,3,6,0,0,
885,Dainius Zubrus,30,NJD,C,82,15,25,40,6,69,14,1,0,3,15,10,0,130,11.5,1252,15:16,16,98,473,450,51.2
