Jeff Tambellini,0.039718,0.090560,0.310822,0.037927,0.219503,0.026218,0.275252
Jordan Eberle,0.882112,0.047768,0.023542,0.006608,0.013593,0.009947,0.016431
Ryan Callahan,0.094443,0.142004,0.164514,0.165982,0.185806,0.097347,0.149903
Jordan Staal,0.084642,0.140103,0.084216,0.065437,0.078370,0.468116,0.079116
Kyle Turris,0.059972,0.244421,0.239313,0.031786,0.130056,0.062755,0.231698
Mats Zuccarello,0.128923,0.191160,0.262353,0.056809,0.154467,0.043141,0.163146
Evander Kane,0.286825,0.193072,0.158690,0.073712,0.113952,0.061839,0.111911
Travis Zajac,0.848017,0.062535,0.027548,0.008974,0.017102,0.015804,0.020020
Ryan Shannon,0.044034,0.093423,0.072646,0.050678,0.075498,0.583273,0.080448
Brandon Dubinsky,0.208276,0.220476,0.211815,0.062481,0.125882,0.044596,0.126475
Ryan Potulny,0.077052,0.428565,0.186848,0.028063,0.091951,0.052672,0.134848
Tyler Ennis,0.319197,0.340028,0.096972,0.029100,0.060140,0.081433,0.073130
Tyler Bozak,0.097687,0.153420,0.091956,0.063965,0.084712,0.422218,0.086043
Jeff Skinner,0.074555,0.135178,0.072562,0.045418,0.062946,0.541445,0.067897
Nikolai Kulemin,0.476245,0.191204,0.128014,0.027454,0.066028,0.032602,0.078453
Jared Boll,0.035354,0.059041,0.085845,0.568212,0.114097,0.044107,0.093344
Patrik Berglund,0.133584,0.274486,0.109705,0.048831,0.085558,0.256225,0.091610
Derick Brassard,0.056296,0.365638,0.153762,0.045578,0.121427,0.122625,0.134675
Jesse Joensuu,0.043038,0.082290,0.204033,0.108081,0.275254,0.041305,0.245998
Mattias Tedenby,0.081003,0.125465,0.206922,0.087145,0.198248,0.060960,0.240258
Niclas Bergfors,0.197429,0.233183,0.213288,0.037479,0.108739,0.051875,0.158006
Peter Mueller,0.110950,0.498680,0.146217,0.022343,0.070296,0.048254,0.103261
Bobby Ryan,0.393327,0.215394,0.117512,0.054170,0.078623,0.059377,0.081597
Anthony Stewart,0.048267,0.491050,0.170300,0.031135,0.098038,0.046902,0.114309
Kyle Palmieri,0.107782,0.155073,0.329935,0.036697,0.142149,0.032216,0.196148
Taylor Hall,0.481457,0.146824,0.098392,0.052824,0.072864,0.068320,0.079318
Tom Pyatt,0.055043,0.138649,0.196439,0.058386,0.193023,0.101819,0.256641
Vladimir Sobotka,0.029729,0.063447,0.156155,0.099914,0.386355,0.036867,0.227534
Guillaume Latendresse,0.104390,0.159407,0.258173,0.062647,0.181036,0.052412,0.181936
Jonathan Toews,0.379431,0.211076,0.097541,0.048457,0.071175,0.114008,0.078313
