"Rk","Player","Age","Tm","Pos","GP","CF","CA","CF%","CF% rel","C/60","Crel/60","FF","FA","FF%","FF% rel","oiSH%","oiSV%","PDO","oZS%","dZS%","TOI/60","TOI(EV)","TK","GV","SAtt.","Thru%"
646,Brad Richards,28,DAL,C,56,710,714,49.9,-0.7,-0.3,-0.8,565,553,50.5,-1.0,10.6,88.4,99.0,48.4,51.6,20:29,13:57,46,63,313,57.5
647,Mike Richards,23,PHI,C,79,1112,1176,48.6,-0.6,-3.3,-2.3,841,851,49.7,0.1,9.8,92.2,102.0,39.4,60.6,21:42,14:51,83,94,459,51.6
648,Brad Richardson,23,LAK,RW,31,258,289,47.2,-8.4,-5.7,-10.2,190,213,47.1,-8.8,5.3,91.3,96.7,45.6,54.4,10:48,10:31,10,1,67,55.2
649,Luke Richardson,39,OTT,D,2,18,16,52.9,-1.1,5.7,-3.0,16,11,59.3,3.1,0.0,66.7,66.7,53.8,46.2,12:45,10:30,0,2,1,0.0
650,Patrick Rissmiller,30,NYR,LW,2,10,20,33.3,-31.6,-33.6,-52.6,9,16,36.0,-23.6,0.0,80.0,80.0,28.6,71.4,9:12,8:56,2,0,3,66.7
651,Craig Rivet,34,BUF,D,64,848,966,46.7,-4.9,-7.2,-9.0,660,754,46.7,-5.3,8.8,92.6,101.4,47.1,52.9,20:08,15:17,16,39,169,47.3
652,Gary Roberts,42,TBL,LW,30,217,310,41.2,-7.3,-18.3,-16.7,155,241,39.1,-10.3,5.4,91.0,96.4,42.9,57.1,11:39,10:10,6,7,51,62.7
653,Stephane Robidas,31,DAL,D,72,1136,1124,50.3,-4.0,0.6,-3.9,895,860,51.0,-4.1,10.0,91.0,101.1,48.2,51.8,24:32,17:38,28,44,342,46.2
654,Bryan Rodney,24,CAR,D,8,82,79,50.9,-5.3,2.3,-3.2,60,61,49.6,-7.9,7.5,88.1,95.6,73.5,26.5,12:38,9:37,7,0,10,30.0
655,Jeremy Roenick,39,SJS,C,42,387,341,53.2,-4.4,6.2,-2.9,289,258,52.8,-5.8,7.8,91.4,99.2,57.8,42.2,11:39,10:32,15,26,76,65.8
656,Brian Rolston,35,NJD,LW,64,674,686,49.6,-6.7,-1.0,-6.4,506,544,48.2,-8.7,8.2,93.6,101.8,50.2,49.8,15:06,11:38,12,18,328,53.0
657,Aaron Rome,25,CBJ,D,8,99,79,55.6,9.3,10.6,11.4,79,56,58.5,14.6,7.1,91.9,99.0,71.9,28.1,15:28,14:10,2,2,16,43.8
658,Jared Ross,26,PHI,C,10,45,75,37.5,-11.7,-24.3,-23.4,36,57,38.7,-12.5,0.0,90.2,90.2,51.2,48.8,7:44,7:24,4,1,18,66.7
659,Andre Roy,33,CGY,LW,44,213,180,54.2,-2.6,8.5,0.7,151,152,49.8,-5.6,4.0,95.6,99.7,66.4,33.6,5:22,5:19,7,5,46,56.5
660,Derek Roy,25,BUF,C,82,1090,1095,49.9,-0.3,-0.3,-0.4,841,837,50.1,0.2,7.9,91.8,99.7,51.4,48.6,21:08,14:19,52,100,399,55.4
,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,C/60,Crel/60,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
661,Michal Rozsival,30,NYR,D,76,1240,1033,54.6,0.4,9.9,5.1,945,776,54.9,0.8,7.5,89.8,97.3,58.5,41.5,22:29,16:27,37,32,276,43.1
662,Mike Rupp,29,NJD,C,72,466,486,48.9,-4.4,-1.9,-5.2,355,382,48.2,-5.1,6.0,93.8,99.8,50.9,49.1,8:44,8:35,10,9,121,62.8
663,Kris Russell,21,CBJ,D,66,764,618,55.3,4.5,10.5,9.8,587,472,55.4,4.6,6.2,91.4,97.6,73.1,26.9,16:07,12:37,14,7,162,53.1
664,Jarkko Ruutu,33,OTT,LW,78,617,678,47.6,-3.6,-4.8,-6.1,464,483,49.0,-3.0,7.9,90.9,98.8,47.2,52.8,11:40,9:51,26,19,143,62.2
665,Tuomo Ruutu,25,CAR,LW,79,1259,1106,53.2,1.1,8.2,5.6,955,819,53.8,1.2,8.3,91.0,99.3,53.8,46.2,18:19,14:12,32,31,363,52.3
666,Bobby Ryan,21,ANA,RW,64,809,604,57.3,4.6,15.5,13.3,636,489,56.5,4.0,12.3,89.8,102.2,63.1,36.9,15:26,12:24,22,39,289,60.2
667,Michael Ryan,28,CAR,LW,18,143,107,57.2,2.7,15.1,9.5,107,79,57.5,1.4,3.8,89.5,93.3,61.2,38.8,8:12,7:57,9,2,41,58.5
668,Michael Ryder,28,BOS,RW,74,840,753,52.7,2.6,6.1,6.0,630,566,52.7,2.8,12.6,93.8,106.4,51.4,48.6,14:43,11:28,20,12,310,59.0
669,Rick Rypien,24,VAN,C,12,52,93,35.9,-16.1,-26.5,-28.1,41,72,36.3,-12.5,7.7,88.9,96.6,36.0,64.0,9:20,7:45,3,3,22,72.7
670,Joe Sakic*,39,COL,C,15,150,169,47.0,-4.2,-6.3,-7.5,114,128,47.1,-6.7,9.3,83.7,93.0,44.3,55.7,18:07,12:09,13,14,79,58.2
671,Brian Salcido,23,ANA,D,2,18,19,48.6,,-2.8,-2.8,18,12,60.0,,20.0,100.0,120.0,71.4,28.6,12:18,10:50,0,0,3,33.3
672,Ruslan Salei,34,COL,D,70,1026,1156,47.0,-2.8,-6.9,-6.7,773,822,48.5,-2.5,9.3,90.5,99.8,52.0,48.0,21:05,16:14,18,36,242,38.4
673,Anssi Salmela,24,TOT,D,26,316,331,48.8,-2.0,0.0,0.0,225,252,47.2,-4.7,8.7,92.9,101.6,62.7,37.3,,,6,11,94,43.6
674,Sami Salo,34,VAN,D,60,728,706,50.8,1.7,1.6,2.5,542,545,49.9,1.2,8.9,92.7,101.6,49.4,50.6,19:49,13:39,22,29,239,43.5
675,Bryce Salvador,32,NJD,D,76,1027,1128,47.7,-9.1,-4.9,-11.4,790,855,48.0,-8.9,6.5,93.3,99.7,47.4,52.6,19:29,16:12,16,28,155,43.9
676,Sergei Samsonov,30,CAR,LW,81,1197,1127,51.5,-1.5,3.8,0.2,901,834,51.9,-2.0,6.7,92.1,98.8,51.2,48.8,17:19,13:48,39,34,299,51.8
677,Mikael Samuelsson,32,DET,RW,81,1064,749,58.7,1.1,18.9,11.1,827,600,58.0,1.4,6.2,92.0,98.3,54.6,45.4,15:10,12:21,20,43,416,61.1
678,Mike Santorelli,23,NSH,C,7,75,64,54.0,-0.1,9.0,4.6,48,55,46.6,-5.0,2.8,87.8,90.6,57.5,42.5,12:15,10:32,3,4,17,64.7
679,Cory Sarich,30,CGY,D,76,1032,838,55.2,-2.2,10.7,1.7,762,666,53.4,-1.9,8.3,92.7,101.0,56.2,43.8,17:39,14:18,13,46,160,35.6
680,Miroslav Satan,34,PIT,RW,65,735,796,48.0,2.9,-4.4,0.6,548,586,48.3,1.8,9.7,93.2,102.9,49.8,50.2,15:45,12:45,19,20,225,53.3
,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,C/60,Crel/60,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
681,Kurt Sauer,28,PHX,D,68,783,1171,40.1,-9.8,-20.4,-20.2,600,827,42.0,-7.0,8.2,92.3,100.5,27.5,72.5,20:21,16:48,9,18,92,35.9
682,Michael Sauer,21,NYR,D,3,12,28,30.0,-30.3,-36.1,-42.9,11,22,33.3,-31.4,16.7,87.5,104.2,60.0,40.0,9:21,8:52,0,0,4,50.0
683,Marc Savard,31,BOS,C,82,1209,1109,52.2,2.9,5.3,6.0,894,859,51.0,1.9,11.1,93.3,104.3,46.9,53.1,19:19,13:45,54,52,346,61.3
684,Raymond Sawada,23,DAL,RW,5,34,32,51.5,-3.9,2.8,-9.8,25,25,50.0,-5.3,5.6,90.0,95.6,54.5,45.5,8:42,8:41,1,0,4,50.0
685,Luca Sbisa,19,PHI,D,39,510,624,45.0,-3.6,-11.3,-9.9,361,446,44.7,-5.3,6.9,92.6,99.5,45.0,55.0,17:29,15:29,7,29,96,39.6
686,Luke Schenn,19,TOR,D,70,1219,1319,48.0,-4.7,-4.8,-8.2,912,986,48.1,-5.5,8.3,90.5,98.8,51.5,48.5,21:17,17:51,31,73,225,44.4
687,David Schlemko,21,PHX,D,3,50,40,55.6,13.7,12.4,18.1,36,33,52.2,16.6,8.3,85.7,94.0,68.0,32.0,19:16,16:07,0,2,9,33.3
688,Mathieu Schneider,39,TOT,D,67,1011,1029,49.6,3.5,0.0,0.0,759,794,48.9,3.1,8.7,90.8,99.6,51.0,49.0,,,49,41,283,45.2
689,Rob Schremp,22,EDM,C,4,31,43,41.9,-20.9,-16.7,-29.9,29,37,43.9,-20.2,19.0,92.6,111.6,72.7,27.3,13:35,10:45,3,3,6,50.0
690,Christoph Schubert,26,OTT,LW,50,394,503,43.9,-8.2,-12.8,-14.8,305,381,44.5,-9.1,8.5,90.5,99.0,53.3,46.7,13:36,10:14,9,21,119,47.9
691,Jeff Schultz,22,WSH,D,64,995,929,51.7,-6.0,3.9,-4.7,715,689,50.9,-7.0,9.9,91.5,101.4,56.4,43.6,19:46,16:03,11,34,99,40.4
692,Nick Schultz,26,MIN,D,79,964,1308,42.4,-9.8,-15.4,-17.7,740,990,42.8,-9.6,7.8,93.2,101.0,25.3,74.7,20:33,17:01,9,35,117,41.0
693,John Scott,26,MIN,D,20,127,171,42.6,-7.1,-14.7,-14.5,99,131,43.0,-8.0,10.4,91.5,101.9,38.3,61.7,9:14,8:59,3,4,14,42.9
694,Rob Scuderi,30,PIT,D,81,1049,1226,46.1,-2.9,-8.6,-7.6,803,889,47.5,-2.9,10.6,93.3,103.9,44.1,55.9,19:10,15:12,26,36,88,58.0
695,Brent Seabrook,23,CHI,D,82,1331,1073,55.4,-0.7,11.0,5.5,1045,843,55.3,-0.1,9.0,92.4,101.4,51.1,48.9,23:18,17:13,26,35,269,49.1
696,Daniel Sedin,28,VAN,LW,82,1134,961,54.1,7.4,9.1,12.4,859,776,52.5,5.5,10.5,93.3,103.7,54.0,46.0,18:35,13:54,35,42,482,59.1
697,Henrik Sedin,28,VAN,C,82,1181,1009,53.9,7.5,8.9,12.4,887,805,52.4,5.7,10.5,92.9,103.4,51.5,48.5,19:19,14:10,42,62,221,63.8
698,Brandon Segal,25,TBL,RW,2,24,20,54.5,7.5,9.1,15.5,20,15,57.1,10.4,0.0,100.0,100.0,38.5,61.5,13:48,13:08,1,0,6,33.3
699,Dennis Seidenberg,27,CAR,D,70,1126,1127,50.0,-3.6,-0.1,-4.3,826,808,50.6,-3.2,7.0,91.7,98.7,48.4,51.6,22:20,16:40,27,29,255,50.6
700,Andrej Sekera,22,BUF,D,69,1089,996,52.2,1.8,4.9,4.4,813,755,51.8,0.9,7.4,89.8,97.2,54.1,45.9,20:41,16:31,19,47,194,43.3
,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,C/60,Crel/60,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
701,Teemu Selanne,38,ANA,RW,65,780,693,53.0,-1.9,6.4,1.6,617,562,52.3,-2.4,8.2,91.3,99.5,60.6,39.4,16:29,12:28,23,47,311,59.8
702,Alexei Semenov,27,SJS,D,47,496,443,52.8,-3.7,5.6,-1.3,376,339,52.6,-4.3,6.6,93.5,100.1,53.1,46.9,13:03,12:02,10,19,68,41.2
703,Alexander Semin,24,WSH,RW,62,970,716,57.5,3.7,18.2,13.7,729,524,58.2,4.7,11.0,91.4,102.4,60.4,39.6,19:14,13:31,73,66,435,51.3
704,Tim Sestito,24,EDM,LW,1,3,4,42.9,-9.8,-13.8,-19.8,2,4,33.3,-24.4,0.0,100.0,100.0,,,5:53,4:20,0,0,1,100.0
705,Devin Setoguchi,22,SJS,RW,81,1076,912,54.1,-0.9,9.2,3.9,823,719,53.4,-2.9,9.2,92.7,101.9,55.6,44.4,16:13,13:13,37,61,437,56.3
706,Brendan Shanahan*,40,NJD,LW,34,308,363,45.9,-12.9,-9.0,-18.3,232,272,46.0,-14.2,6.7,93.3,100.0,57.1,42.9,14:54,10:48,14,10,122,62.3
707,Ryan Shannon,25,OTT,RW,35,330,343,49.0,-3.1,-1.8,-4.3,252,252,50.0,-1.7,8.6,91.3,99.9,48.2,51.8,14:56,12:04,17,11,103,60.2
708,Patrick Sharp,27,CHI,C,61,780,627,55.4,0.5,11.5,7.0,585,492,54.3,-1.4,8.1,92.7,100.8,64.9,35.1,17:56,13:06,22,18,294,61.9
709,Jody Shelley,32,SJS,LW,70,322,315,50.5,-4.6,1.0,-4.8,235,237,49.8,-6.2,3.5,93.0,96.5,64.5,35.5,6:11,6:07,7,15,64,68.8
710,James Sheppard,20,MIN,C,82,851,997,46.0,-4.0,-8.3,-8.4,648,738,46.8,-3.5,7.3,91.3,98.5,39.2,60.8,15:11,12:52,36,22,143,61.5
711,Jaime Sifers,26,TOR,D,23,245,239,50.6,-1.3,1.4,-1.1,179,171,51.1,-0.9,6.8,87.8,94.6,56.8,43.2,12:50,11:26,3,9,52,48.1
712,Mike Sillinger,37,NYI,C,7,67,91,42.4,-11.3,-19.2,-21.5,45,62,42.1,-15.8,6.1,84.4,90.5,39.3,60.7,14:08,10:43,0,2,24,58.3
713,Jon Sim,31,NYI,LW,49,429,586,42.3,-8.4,-18.4,-19.4,321,413,43.7,-7.2,8.8,90.0,98.8,43.4,56.6,12:10,10:26,13,11,149,60.4
714,Wayne Simmonds,20,LAK,RW,82,828,866,48.9,-4.2,-2.3,-5.6,620,652,48.7,-4.5,6.0,92.7,98.6,46.7,53.3,13:50,12:20,39,40,229,55.5
715,Fredrik Sjostrom,25,NYR,RW,79,655,629,51.0,-3.2,2.1,-2.6,503,487,50.8,-3.2,5.2,90.8,96.1,45.6,54.4,12:10,9:15,19,13,151,62.9
716,Jack Skille,21,CHI,RW,8,53,62,46.1,-12.6,-7.5,-17.7,44,51,46.3,-14.4,3.0,90.7,93.7,56.5,43.5,9:26,9:03,2,2,19,73.7
717,Brett Skinner,25,NYI,D,11,94,119,44.1,-2.4,-12.7,-7.3,70,86,44.9,-1.4,11.1,95.6,106.7,50.0,50.0,11:43,10:43,4,3,11,45.5
718,Martin Skoula,29,MIN,D,81,1086,1285,45.8,-4.3,-8.7,-8.8,835,977,46.1,-4.2,7.9,91.4,99.2,34.0,66.0,19:58,16:54,11,40,108,50.9
719,Karlis Skrastins,34,FLA,D,80,1156,1451,44.3,-4.9,-13.0,-12.2,880,1139,43.6,-5.0,8.8,94.0,102.8,40.9,59.1,20:34,16:58,19,32,151,36.4
720,Jim Slater,26,ATL,C,60,429,491,46.6,-2.5,-7.3,-6.4,344,371,48.1,-1.5,7.8,92.4,100.1,46.6,53.4,11:15,8:29,26,10,152,61.8
721,Tyler Sloan,27,WSH,D,26,366,337,52.1,-1.6,4.8,1.0,264,248,51.6,-2.7,9.6,91.0,100.5,48.8,51.2,16:39,13:55,9,19,31,25.8
722,David Sloane,23,PHI,RW,1,6,3,66.7,,26.7,26.7,5,2,71.4,,0.0,100.0,100.0,100.0,0.0,6:44,6:44,0,0,0,
723,Matt Smaby,24,TBL,D,43,537,673,44.4,-5.8,-12.0,-12.2,398,511,43.8,-5.6,9.2,89.7,98.9,43.3,56.7,19:05,15:48,17,33,69,40.6
724,Ladislav Smid,22,EDM,D,60,605,798,43.1,-7.2,-13.8,-14.1,471,603,43.9,-6.1,8.1,91.9,100.0,49.9,50.1,14:57,14:02,13,37,67,49.3
725,Jason Smith,35,OTT,D,63,743,901,45.2,-8.2,-10.6,-14.2,554,642,46.3,-7.4,9.0,91.2,100.2,48.8,51.2,17:28,14:11,4,36,119,44.5
